2023-06-24 04:57:04 configure libtirpc-common:all 1.3.2-2build1 <none>
2023-06-24 04:57:04 status unpacked libtirpc-common:all 1.3.2-2build1
2023-06-24 04:57:04 status half-configured libtirpc-common:all 1.3.2-2build1
2023-06-24 04:57:04 status installed libtirpc-common:all 1.3.2-2build1
2023-06-24 04:57:04 configure libaudit-common:all 1:3.0.7-1build1 <none>
2023-06-24 04:57:04 status unpacked libaudit-common:all 1:3.0.7-1build1
2023-06-24 04:57:04 status half-configured libaudit-common:all 1:3.0.7-1build1
2023-06-24 04:57:04 status installed libaudit-common:all 1:3.0.7-1build1
2023-06-24 04:57:04 configure libsemanage-common:all 3.3-1build2 <none>
2023-06-24 04:57:04 status unpacked libsemanage-common:all 3.3-1build2
2023-06-24 04:57:04 status half-configured libsemanage-common:all 3.3-1build2
2023-06-24 04:57:04 status installed libsemanage-common:all 3.3-1build2
2023-06-24 04:57:04 configure gcc-12-base:arm64 12-20220319-1ubuntu1 <none>
2023-06-24 04:57:04 status unpacked gcc-12-base:arm64 12-20220319-1ubuntu1
2023-06-24 04:57:04 status half-configured gcc-12-base:arm64 12-20220319-1ubuntu1
2023-06-24 04:57:04 status installed gcc-12-base:arm64 12-20220319-1ubuntu1
2023-06-24 04:57:04 configure ncurses-base:all 6.3-2 <none>
2023-06-24 04:57:04 status unpacked ncurses-base:all 6.3-2
2023-06-24 04:57:04 status half-configured ncurses-base:all 6.3-2
2023-06-24 04:57:04 status installed ncurses-base:all 6.3-2
2023-06-24 04:57:04 configure sensible-utils:all 0.0.17 <none>
2023-06-24 04:57:04 status unpacked sensible-utils:all 0.0.17
2023-06-24 04:57:04 status half-configured sensible-utils:all 0.0.17
2023-06-24 04:57:04 status installed sensible-utils:all 0.0.17
2023-06-24 04:57:04 configure libcrypt1:arm64 1:4.4.27-1 <none>
2023-06-24 04:57:04 status unpacked libcrypt1:arm64 1:4.4.27-1
2023-06-24 04:57:04 status half-configured libcrypt1:arm64 1:4.4.27-1
2023-06-24 04:57:04 status installed libcrypt1:arm64 1:4.4.27-1
2023-06-24 04:57:04 configure libgcc-s1:arm64 12-20220319-1ubuntu1 <none>
2023-06-24 04:57:04 status unpacked libgcc-s1:arm64 12-20220319-1ubuntu1
2023-06-24 04:57:04 status half-configured libgcc-s1:arm64 12-20220319-1ubuntu1
2023-06-24 04:57:04 status installed libgcc-s1:arm64 12-20220319-1ubuntu1
2023-06-24 04:57:04 configure libc6:arm64 2.35-0ubuntu3 <none>
2023-06-24 04:57:04 status unpacked libc6:arm64 2.35-0ubuntu3
2023-06-24 04:57:04 status half-configured libc6:arm64 2.35-0ubuntu3
2023-06-24 04:57:04 status installed libc6:arm64 2.35-0ubuntu3
2023-06-24 04:57:04 configure libudev1:arm64 249.11-0ubuntu3 <none>
2023-06-24 04:57:04 status unpacked libudev1:arm64 249.11-0ubuntu3
2023-06-24 04:57:04 status half-configured libudev1:arm64 249.11-0ubuntu3
2023-06-24 04:57:04 status installed libudev1:arm64 249.11-0ubuntu3
2023-06-24 04:57:04 configure libattr1:arm64 1:2.5.1-1build1 <none>
